taxid	scientific_name	kingdom	phylum	class	order	family	genus	species
451427	Acridotheres cristatellus	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Acridotheres	Acridotheres cristatellus
60463	Agapornis lilianae	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	Agapornis lilianae
60464	Agapornis nigrigenis	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	Agapornis nigrigenis
60467	Agapornis pullarius	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	Agapornis pullarius
60466	Agapornis roseicollis	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	Agapornis roseicollis
8839	Anas platyrhynchos	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos
8843	Anser anser	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser anser
8845	Anser cygnoides	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser cygnoides
39030	Apodemus agrarius	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus agrarius
176018	Aratinga solstitialis	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	Aratinga solstitialis
30521	Bos grunniens	Animalia	Chordata	Mammalia	Cetartiodactyla	Bovidae	Bos	Bos grunniens
9913	Bos taurus	Animalia	Chordata	Mammalia	Cetartiodactyla	Bovidae	Bos	Bos taurus
89462	Bubalus bubalis	Animalia	Chordata	Mammalia	Cetartiodactyla	Bovidae	Bubalus	Bubalus bubalis
9612	Canis lupus	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus
9925	Capra hircus	Animalia	Chordata	Mammalia	Cetartiodactyla	Bovidae	Capra	Capra hircus
48560	Capreolus pygargus	Animalia	Chordata	Mammalia	Cetartiodactyla	Cervidae	Capreolus	Capreolus pygargus
9860	Cervus elaphus	Animalia	Chordata	Mammalia	Cetartiodactyla	Cervidae	Cervus	Cervus elaphus
9863	Cervus nippon	Animalia	Chordata	Mammalia	Cetartiodactyla	Cervidae	Cervus	Cervus nippon
9534	Chlorocebus aethiops	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus aethiops
60711	Chlorocebus sabaeus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
8932	Columba livia	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	Columba livia
516356	Columba rupestris	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	Columba rupestris
120096	Corvus macrorhynchos	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus macrorhynchos
93934	Coturnix japonica	Animalia	Chordata	Aves	Galliformes	Phasianidae	Coturnix	Coturnix japonica
188379	Egretta garzetta	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Egretta	Egretta garzetta
9793	Equus asinus	Animalia	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus asinus
